,team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shoted pg,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg
0,Arsenal,17,14,2,1,40,14,+26,44,40,15.8,30,0,57.6,85.5,11.2,6.86,8.2,14.9,7.3,10.2,1.4,5.7,8.2,11.4
1,Manchester City,17,12,3,2,45,16,+29,39,45,17.7,17,1,66.2,89.4,12.7,6.93,7.1,12.9,6.4,8.5,1.5,6.1,7.6,8.8
2,Newcastle,18,9,8,1,32,11,+21,35,32,14.1,33,0,49.6,78.2,14.3,6.82,11.1,16.7,9.1,11.1,2.3,5,5.9,10.3
3,Manchester United,17,11,2,4,27,20,+7,35,27,14.4,43,0,53.2,81.9,12.5,6.74,11.9,15.6,9.9,11.6,2.1,5.5,5.2,7.2
4,Tottenham,18,10,3,5,37,25,+12,33,37,14.2,33,1,51.3,84.5,13.4,6.75,14.3,15.9,9.3,10.1,1.8,5.8,6.6,8.2
5,Fulham,19,9,4,6,32,28,+4,31,32,12.2,46,1,47.4,78.9,14.2,6.63,13.3,16.2,7.8,10.1,1.5,4.4,4.9,9.6
6,Liverpool,17,8,4,5,34,22,+12,28,34,17.2,15,1,61.5,83.3,12.4,6.72,10,14.5,8.8,8.8,2.2,6.4,6.8,8.3
7,Brighton,17,8,3,6,32,25,+7,27,32,13.5,25,0,56.6,83.8,12.4,6.63,10.1,16.8,9.1,10.6,1.7,5.5,5.3,9.6
8,Brentford,18,6,8,4,30,28,+2,26,30,10.2,25,0,42.5,74.5,15.9,6.62,16.1,15.2,9.4,8.3,1.9,4.6,5.1,10.4
9,Chelsea,18,7,4,7,21,21,0,25,21,11.4,37,3,58.3,84.9,12.2,6.61,11.1,19.1,9.3,10.6,2.1,4.1,6.3,11.5
10,Aston Villa,19,7,4,8,22,27,-5,25,22,11.2,43,1,47.8,79.8,12.7,6.56,11.6,18.7,9.4,11.3,1.9,4.2,5.3,12.4
11,Crystal Palace,17,6,4,7,17,25,-8,22,17,11.3,35,2,46.4,80.6,11.8,6.57,13.2,18.5,8.5,11.9,1.2,3.7,8.1,13.4
12,Leicester,18,5,2,11,26,31,-5,17,26,11.1,22,0,51.2,82.8,12.1,6.59,13.5,17.9,9.8,10.3,1.7,4.3,4.6,9.7
13,Leeds,18,4,5,9,26,33,-7,17,26,12.7,38,2,49.3,75.8,14.4,6.56,13.7,23.4,10.2,13.2,1.5,3.9,6.4,10.8
14,Nottingham Forest,18,4,5,9,13,34,-21,17,13,9.9,41,0,38.8,74.2,14.3,6.43,14.5,17.1,8.6,11.5,1.5,3,5.1,11
15,Bournemouth,18,4,4,10,18,39,-21,16,18,8,31,0,39.4,77.5,12.8,6.46,16.1,16.8,7.6,10.7,0.8,3.4,5.8,10.6
16,West Ham,18,4,3,11,15,24,-9,15,15,13.7,23,0,44.9,79.8,15.4,6.54,11.8,15.7,10.1,10.1,1.6,3.9,4.8,8.1
17,Everton,18,3,6,9,14,24,-10,15,14,10.1,41,0,44.5,79.7,11.6,6.56,16.4,18.7,9.6,9.6,1.7,3.5,5.4,10.4
18,Wolverhampton,18,3,5,10,11,27,-16,14,11,11.3,39,3,48.5,81.7,11.4,6.48,13.3,18.4,8,11.3,1.7,3.3,7.4,9.8
19,Southampton,18,3,3,12,15,33,-18,12,15,11.3,28,0,44.1,76.6,14.9,6.48,12.3,18.9,10.8,10.6,1.1,3.6,7.8,9.5
